ExperimentNumber,WorkloadNumber,RequestId,                   J,UserClass,              Policy,CloudDeploymentModel,     Id,                Name,ExecutionTime,ExecutionCost,     TasksIdAsString
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,     41,     openstack-micro,       108.00,         0.00,                [17]
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,     40,     openstack-micro,       108.00,         0.00,                [16]
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,     43,     openstack-micro,       108.00,         0.00,                [19]
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,     42,     openstack-micro,       108.00,         0.00,                [18]
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,     45,     openstack-micro,       108.00,         0.00,                [21]
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,     44,     openstack-micro,       108.00,         0.00,                [20]
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,     46,     openstack-micro,       108.00,         0.00,                [22]
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,     38,     openstack-micro,       118.00,         0.00,             [12-14]
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,     39,     openstack-micro,       108.00,         0.00,                [15]
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,     16, small-aws-us-east-1,        10.00,         0.50,                [13]
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,     64, small-aws-us-east-1,        35.69,         0.50,             [23-24]
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,     65, small-aws-us-east-1,        27.69,         0.50,             [26-25]
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,     66, small-aws-us-east-1,        25.69,         0.50,                [27]
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,     67, small-aws-us-east-1,        25.69,         0.50,                [28]
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,     68, small-aws-us-east-1,        25.69,         0.50,                [29]
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,     69, small-aws-us-east-1,        25.69,         0.50,                [30]
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,     70, small-aws-us-east-1,        25.69,         0.50,                [31]
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,     71, small-aws-us-east-1,        25.69,         0.50,                [32]
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,     72, small-aws-us-east-1,        25.69,         0.50,                [33]
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    134,     openstack-micro,       118.00,         0.00,             [34-36]
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    136,     openstack-micro,       108.00,         0.00,                [38]
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    137,     openstack-micro,       108.00,         0.00,                [39]
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    135,     openstack-micro,       108.00,         0.00,                [37]
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    140,     openstack-micro,       108.00,         0.00,                [42]
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    141,     openstack-micro,       108.00,         0.00,                [43]
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    138,     openstack-micro,       108.00,         0.00,                [40]
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    139,     openstack-micro,       108.00,         0.00,                [41]
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    142,     openstack-micro,       108.00,         0.00,                [44]
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    114, small-aws-us-east-1,        10.00,         0.50,                [35]
